host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
13660,Chamartín,Hispanoamérica,40.45628,-3.67763,Private room,70,1,65,0.56,1,53
83531,Latina,Cármenes,40.40341,-3.74084,Private room,17,4,33,0.55,2,48
101471,Centro,Universidad,40.42202,-3.70395,Entire home/apt,80,5,2,0.03,1,354
101653,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,64,0.63,1,301
114340,Arganzuela,Legazpi,40.38985,-3.69011,Private room,25,2,136,1.19,1,337
130907,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,168,1.5,3,322
132883,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,0.15,1,0
130907,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,3,38,0.35,3,337
288380,Centro,Palacio,40.41971,-3.71256,Private room,40,1,14,0.14,1,363
303845,Centro,Justicia,40.4208,-3.69878,Private room,45,1,57,3.43,2,352
353616,Centro,Universidad,40.42365,-3.70889,Entire home/apt,65,5,85,0.81,2,291
353738,Centro,Universidad,40.42321,-3.70143,Entire home/apt,70,28,18,0.18,5,343
353738,Centro,Palacio,40.42138,-3.71101,Entire home/apt,75,28,3,0.04,5,323
353738,Centro,Palacio,40.42111,-3.7101,Entire home/apt,75,28,6,0.12,5,261
364585,Centro,Embajadores,40.41119,-3.7047,Entire home/apt,110,2,95,0.91,5,166
378073,Centro,Cortes,40.41139,-3.69408,Entire home/apt,85,3,14,0.23,9,344
391014,Centro,Embajadores,40.41075,-3.70759,Entire home/apt,80,8,5,0.19,1,77
401552,Centro,Embajadores,40.40743,-3.69719,Entire home/apt,63,3,53,0.59,1,189
368907,Centro,Universidad,40.42791,-3.70999,Entire home/apt,102,3,33,0.34,2,102
448981,Salamanca,Recoletos,40.42315,-3.68279,Entire home/apt,60,3,108,1.06,1,0
259229,Centro,Embajadores,40.40865,-3.70534,Entire home/apt,60,3,178,1.75,1,0
364585,Centro,Embajadores,40.40894,-3.69766,Entire home/apt,100,2,140,1.39,5,165
487095,Centro,Palacio,40.41218,-3.71369,Entire home/apt,110,2,195,1.95,1,292
495849,Centro,Justicia,40.42422,-3.69538,Private room,50,2,86,0.85,1,346
499977,Centro,Universidad,40.42462,-3.70352,Private room,32,1,594,5.83,3,321
510570,Tetuán,Cuatro Caminos,40.45559,-3.69421,Private room,25,3,178,1.99,1,261
527760,Fuencarral - El Pardo,Valverde,40.50116,-3.67119,Entire home/apt,60,2,3,0.07,1,0
5795235,Centro,Embajadores,40.40858,-3.70301,Entire home/apt,65,3,57,0.79,4,323
